epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.5047944,1.0098226611958405,0.20123339,0.4826389,1.0025602016184065,0.20037416
1,0.54709053,0.9523554139908926,0.18816976,0.44791666,1.0200609763463337,0.20341013
2,0.56390387,0.927484862127646,0.18272711,0.5138889,0.9664280911286672,0.19210982
3,0.57086563,0.9118404133896406,0.17927451,0.4861111,0.9635710418224335,0.19265282
4,0.575463,0.9007472157259111,0.17706062,0.53125,0.924520774020089,0.18407106
5,0.59148824,0.8897367916892616,0.17459135,0.5451389,0.9232392940256331,0.18389529
6,0.60042036,0.8700365442398514,0.17079322,0.5486111,0.8547488152980804,0.17006505
7,0.6044923,0.8552192480808706,0.16756064,0.5520833,0.8447668237818612,0.16883776
8,0.60843295,0.8441206469072958,0.16545032,0.5625,0.8167729592985578,0.16333497
9,0.62064886,0.8274251509007151,0.16180693,0.5381944,0.9183434512880113,0.1831225
