epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.45737556,1.2175408711841162,0.21558465,0.33680555,1.128526833322313,0.22945422
1,0.462367,1.0641263491312245,0.21417263,0.33680555,1.1222248143619962,0.22773351
2,0.46184158,1.0644838888730042,0.21423748,0.33680555,1.139146476984024,0.23202282
3,0.462367,1.0640687987680084,0.21413566,0.33680555,1.1322328117158678,0.23031598
4,0.46276107,1.0632817987448029,0.21397449,0.33680555,1.1385757757557764,0.23165274
5,0.46249837,1.063574767576228,0.21402924,0.33680555,1.1186356213357713,0.22694066
6,0.46223566,1.0633149429985467,0.21397269,0.33680555,1.127158264319102,0.22894804
7,0.4621043,1.0637841592335473,0.21408305,0.33680555,1.1438596579763625,0.2332925
8,0.4626297,1.0639119296072035,0.21410552,0.33680555,1.1349530286259122,0.23105018
9,0.4621043,1.0639418049145508,0.21412419,0.33680555,1.128988696469201,0.22958374
