epoch;accuracy;loss;mean_squared_error;val_accuracy;val_loss;val_mean_squared_error
0;0.5303164;0.9869347221761487;0.19514142;0.5208333;0.9729953043990665;0.19457692
1;0.5682592;0.9042953542438023;0.17836896;0.5451389;0.9445514894194074;0.18759523
2;0.5898147;0.8784183318852687;0.17269169;0.59375;0.8153625561131371;0.16493727
0;0.52817345;0.9931516671983167;0.19557907;0.5173611;1.0017047690020666;0.20264211
1;0.56888944;0.9170302890009167;0.18007849;0.5659722;0.8649744093418121;0.17309208
2;0.5932182;0.8639629653479012;0.16976537;0.5555556;0.9910636478000217;0.1894174
3;0.613009;0.8407359003464692;0.16461135;0.5902778;0.7721793784035577;0.15821055
4;0.6257251;0.80838864114967;0.1581733;0.6354167;0.7274894615014394;0.15139347
5;0.63985884;0.7763593797949393;0.15251322;0.5069444;0.9338899552822113;0.1885799
6;0.64313626;0.7645516437794753;0.15015334;0.6493056;0.7181816200415293;0.14763077
7;0.6597756;0.7456362212679507;0.14636718;0.6493056;0.7096650732888116;0.14590146
8;0.6688516;0.7241570411587399;0.1418306;0.6006944;0.9339242610666487;0.17965096
9;0.66620445;0.721594381194149;0.1419743;0.6111111;0.8563296861118741;0.17169659
